email_domain,school_name
inha.ac.kr,인하대학교
puts.ac.kr,장로회신학대학교
o365.jangan.ac.kr,장안대학교
jeiu.ac.kr,재능대학교
s.cntu.ac.kr,전남과학대학교
chonnam.ac.kr,전남대학교
dorip.ac.kr,전남도립대학교
tu.jbsc.ac.kr,전북과학대학교
chonbuk.ac.kr,전북대학교
jbnu.ac.kr,전북대학교
jbu.ac.kr,전북대학교
jnue.ac.kr,전주교육대학교
kijeon.ac.kr,전주기전대학
jj.ac.kr,전주대학교
jvision.ac.kr,전주비전대학교
,정석대학
jtu.ac.kr,제주관광대학교
jeju.ac.kr,제주국제대학교
cheju.ac.kr,제주대학교
chu.ac.kr,제주한라대학교
cnc.ac.kr,조선간호대학교
chosun.ac.kr,조선대학교
cst.ac.kr,조선이공대학교
jmail.ac.kr,중부대학교
cau.ac.kr,중앙대학교
,중앙승가대학교
jwu.ac.kr,중원대학교
cue.ac.kr,진주교육대학교
,진주보건대학교
,진주산업대학교(산업대)
cha.ac.kr,차의과학대학교
chauniv.ac.kr,차의과학대학교
cs.ac.kr,창신대학교
,창원문성대학교
ck.ac.kr,청강문화산업대학교
chungkang.academy,청강문화산업대학교
ca.ac.kr,청암대학교
chungwoon.ac.kr,청운대학교
cje.ac.kr,청주교육대학교
chongju.ac.kr,청주대학교
cju.ac.kr,청주대학교
chodang.ac.kr,초당대학교
chongshin.ac.kr,총신대학교
chugye.ac.kr,추계예술대학교
cnue.ac.kr,춘천교육대학교
ch.ac.kr,춘해보건대학교
cnu.ac.kr,충남대학교
chungnam.ac.kr,충남대학교
cnsu.ac.kr,충남도립대학교
cbu.ac.kr,충북대학교
cbnu.ac.kr,충북대학교
chungbuk.ac.kr,충북대학교
office.cpu.ac.kr,충북도립대학교
o365.chsu.ac.kr,충북보건과학대학교
ok.ac.kr,충청대학교
calvin.ac.kr,칼빈대학교
taejae.ac.kr,태재대학교
ptu.ac.kr,평택대학교
postech.ac.kr,포항공과대학교
office.pohang.ac.kr,포항대학교
hknu.ac.kr,한경국립대학교
,한국골프과학기술대학교
tukorea.ac.kr,한국공학대학교
kaist.ac.kr,한국과학기술원
office.ktc.ac.kr,한국관광대학교
knue.ac.kr,한국교원대학교
koreatech.ac.kr,한국기술교육대학교
,한국농수산대학교
knou.ac.kr,한국방송통신대학교
,한국복지사이버대학교
bible.ac.kr,한국성서대학교
,한국승강기대학교
kentech.ac.kr,한국에너지공과대학교
